study,run,suite,variant,cores,parallelism,pass,status,input_rate,input_unit,output_rate,output_unit,elapsed_s,tm_cores,tm_cap_frac,kafka_cores,kafka_cap,kafka_cap_frac,busy_frac,backpressure_frac,checkpoint_ms,started_at,source_file,notes
step,step-10,paired-1v2-1,12M backlog,2,2,,,193548,orders/s,,,62,,,,,,,0.59,,2026-08-25T09:34:07Z,docs/steps/step-10/paired-1v2-1.txt,cores = partitions = parallelism; back-pressure is peak
step,step-10,paired-1v2-2,12M backlog,1,1,,,166666,orders/s,,,72,,,,,,,0.47,,2026-08-25T09:40:10Z,docs/steps/step-10/paired-1v2-2.txt,cores = partitions = parallelism; back-pressure is peak
step,step-10,saturation,offered 315854/s,,4,,SATURATED,37419,orders/s,,,91,,,,,,1.00,0.55,,,docs/steps/step-10/saturation.txt,live generators not a drain; rate is sustained under offered load; lag diverging
step,step-10,saturation,offered 309012/s,,2,,SATURATED,43300,orders/s,,,99,,,,,,0.98,0.42,,,docs/steps/step-10/saturation.txt,live generators not a drain; rate is sustained under offered load; lag diverging
step,step-11,aws-drain-p4,AWS c5.2xlarge client; 3x kafka.m5.xlarge,,4,,,83031,orders/s,415155,records written/s,1068,6.27,,0.66,,,,,1000,2026-08-26T02:03:39Z,docs/steps/step-11/aws-drain-p4.txt,88678174 orders; 4 partitions; task manager 627% of 800% (8 vCPU); client CPU 92% user; broker cores summed across three brokers
step,step-11,aws-drain-p16,AWS; 3x kafka.m5.xlarge,,16,,,208654,orders/s,1043270,records written/s,425,,,,,,,,10000,2026-08-26T02:57:03Z,docs/steps/step-11/aws-drain-p16.txt,88678174 orders; 16 partitions; 32 slots; client instance not stated in log; no CPU figures
step,step-11,aws-drain-p8,AWS; 3x kafka.m5.xlarge,,8,,,260053,orders/s,1300265,records written/s,341,,,,,,,,10000,2026-08-26T03:08:05Z,docs/steps/step-11/aws-drain-p8.txt,88678174 orders; 16 partitions; 16 slots; client instance not stated in log; no CPU figures
step,step-12,units,laptop,1,1,,,30505,orders/s,,,60,1.00,,0.10,,,,0.241,5000,2026-08-27T10:42:50Z,docs/steps/step-12/units.txt,50M-order backlog; 8 partitions; 60 s window after 240 s warm-up
step,step-12,units,laptop,2,2,,,65721,orders/s,,,60,2.00,,0.25,,,,0.285,5000,2026-08-27T10:42:50Z,docs/steps/step-12/units.txt,50M-order backlog; 8 partitions; 60 s window after 240 s warm-up
step,step-12,units,laptop,4,4,,,129056,orders/s,,,60,3.94,,0.39,,,,0.516,5000,2026-08-27T10:42:50Z,docs/steps/step-12/units.txt,50M-order backlog; 8 partitions; 60 s window after 240 s warm-up
step,step-12,units,laptop,8,8,,,151969,orders/s,,,60,4.98,,0.48,,,,0.727,5000,2026-08-27T10:42:50Z,docs/steps/step-12/units.txt,50M-order backlog; 8 partitions; 60 s window after 240 s warm-up; ceiling
step,step-12,units-aws,AWS c7i.4xlarge client; 2x kafka.m5.large,1,1,1,,43974,orders/s,,,60,1.00,,0.31,,,,0.199,10000,2026-08-29T13:56:12Z,docs/steps/step-12/units-aws-1.txt,120M-order backlog; 8 partitions; 60 s window after 120 s warm-up
step,step-12,units-aws,AWS c7i.4xlarge client; 2x kafka.m5.large,1,1,2,,43101,orders/s,,,60,1.00,,0.29,,,,0.209,10000,2026-08-29T14:18:07Z,docs/steps/step-12/units-aws-1b.txt,120M-order backlog; 8 partitions; 60 s window after 120 s warm-up
step,step-12,units-aws,AWS c7i.4xlarge client; 2x kafka.m5.large,2,2,1,,64669,orders/s,,,60,2.00,,0.43,,,,0.230,10000,2026-08-29T13:49:29Z,docs/steps/step-12/units-aws-2.txt,120M-order backlog; 8 partitions; 60 s window after 120 s warm-up
step,step-12,units-aws,AWS c7i.4xlarge client; 2x kafka.m5.large,2,2,2,,63543,orders/s,,,60,2.00,,0.35,,,,0.181,10000,2026-08-29T14:06:03Z,docs/steps/step-12/units-aws-2b.txt,120M-order backlog; 8 partitions; 60 s window after 120 s warm-up
step,step-12,units-aws,AWS c7i.4xlarge client; 2x kafka.m5.large,4,4,1,,104912,orders/s,,,60,3.99,,0.45,,,,0.349,10000,2026-08-29,docs/steps/step-12/units-aws.txt,measured once; per-pass file not kept
step,step-12,units-aws,AWS c7i.4xlarge client; 2x kafka.m5.large,8,8,1,,181133,orders/s,,,60,7.99,,0.62,,,,0.654,10000,2026-08-29,docs/steps/step-12/units-aws.txt,measured once; per-pass file not kept
